,Unnamed: 0,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
7637,7637,3040000,3040000-101-2001-09899,2001-08-21,,1,영업/정상,1,영업,,,,,02 4559799,23.1,143-847,서울특별시 광진구 능동 224-29 (1층) ,"서울특별시 광진구 천호대로112길 36 (능동,(1층))",4985.0,노가리하우스,2022-09-16 11:35:12,U,2022-09-18 02:40:00.0,호프/통닭,207064.405518592,450277.383982581,호프/통닭,,,기타,기타,,,,,,,,,,N,23.1,,,
7644,7644,3040000,3040000-101-2001-09907,2001-08-25,,1,영업/정상,1,영업,,,,,02 4985577,20.93,143-904,서울특별시 광진구 중곡동 257-7 ,서울특별시 광진구 면목로 88 (중곡동),4915.0,코코,2024-03-04 11:36:55,U,2024-03-06 02:40:00.0,호프/통닭,206913.868819686,451033.907331269,호프/통닭,,,기타,기타,상수도전용,,,,,,,,,N,20.93,,,
7656,7656,3040000,3040000-101-2001-09921,2001-09-03,,1,영업/정상,1,영업,,,,,02 4543003,103.43,143-826,서울특별시 광진구 구의동 252-39 ,서울특별시 광진구 자양로18길 9 (구의동),5043.0,킹덤(Kingdom),2021-03-03 18:55:05,U,2021-03-05 02:40:00.0,호프/통닭,207356.573747275,448379.040649921,호프/통닭,,,기타,기타,상수도전용,,,,,,,,,Y,103.43,,,
7722,7722,3040000,3040000-101-2001-09997,2001-11-14,,1,영업/정상,1,영업,,,,,02 4588798,,143-815,서울특별시 광진구 광장동 577-0번지 광장현대파크빌 상가 1017동 107호 ,"서울특별시 광진구 아차산로 549 (광장동,광장현대파크빌 상가 1017동 107호)",4983.0,멕시칸치킨,2009-08-27 11:24:51,I,2018-08-31 23:59:59.0,호프/통닭,208902.730986087,449103.205201495,호프/통닭,,,기타,기타,상수도전용,,,,,,,,,N,21.0,,,
7729,7729,3040000,3040000-101-2001-10004,2001-11-12,,1,영업/정상,1,영업,,,,,02 4997051,139.04,143-915,서울특별시 광진구 화양동 111-161 ,서울특별시 광진구 능동로19길 36 (화양동),5009.0,깍뚝,2021-03-09 14:33:02,U,2021-03-11 02:40:00.0,호프/통닭,206276.769586001,449466.360740139,호프/통닭,,,기타,기타,,,,,,,,,,N,139.04,,,
7755,7755,3040000,3040000-101-2001-10031,2001-10-26,,1,영업/정상,1,영업,,,,,02 4635161,99.84,143-914,서울특별시 광진구 화양동 8-102 ,서울특별시 광진구 동일로22길 107 (화양동),5017.0,치치건대점,2022-11-02 15:10:56,U,2022-11-04 02:40:00.0,호프/통닭,206117.047193201,448742.653011903,호프/통닭,0.0,0.0,기타,기타,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,99.84,,,
7765,7765,3040000,3040000-101-2001-10041,2001-12-27,,1,영업/정상,1,영업,,,,,02 4581639,35.04,143-823,서울특별시 광진구 구의동 221-62번지 ,서울특별시 광진구 아차산로57길 32 (구의동),5041.0,구의비어,2020-01-23 10:39:24,U,2020-01-25 02:40:00.0,호프/통닭,207757.526378936,448628.889909035,호프/통닭,0.0,0.0,,,,,,,,,,,,N,35.04,,,
7829,7829,3040000,3040000-101-2001-10107,2001-12-18,,1,영업/정상,1,영업,,,,,02 4982780,135.09,143-915,서울특별시 광진구 화양동 111-27 ,서울특별시 광진구 능동로19길 21-2 (화양동),5009.0,세종대점(하남돼지집),2021-06-30 11:54:03,U,2021-07-02 02:40:00.0,호프/통닭,206342.411494474,449415.943515539,호프/통닭,2.0,2.0,주택가주변,,상수도전용,,,,,,,,,N,135.09,,,
7867,7867,3040000,3040000-101-2001-10146,2001-11-13,,1,영업/정상,1,영업,,,,,02 4992377,,143-915,서울특별시 광진구 화양동 112-12번지 ,서울특별시 광진구 능동로19길 11 (화양동),5009.0,고향산천원조숯불닭갈비,2018-07-05 10:34:29,I,2018-08-31 23:59:59.0,호프/통닭,206385.923387309,449411.913322466,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,85.4,,,
7868,7868,3040000,3040000-101-2001-10147,2001-11-29,,1,영업/정상,1,영업,,,,,02 4570103,,143-818,서울특별시 광진구 구의동 56-16번지 (1층) ,"서울특별시 광진구 자양로 284, 1층 (구의동)",4961.0,으뜸호프,2014-06-09 10:26:56,I,2018-08-31 23:59:59.0,호프/통닭,208045.176570733,449875.520037658,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,74.34,,,
7869,7869,3040000,3040000-101-2001-10148,2001-12-05,,1,영업/정상,1,영업,,,,,02 4995506,24.16,143-826,서울특별시 광진구 구의동 251-139 1층 ,"서울특별시 광진구 아차산로51길 101, 1층 (구의동)",5039.0,또바치킨&족발,2022-11-30 15:49:58,U,2022-12-02 02:40:00.0,호프/통닭,207468.272379032,448809.920885068,호프/통닭,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,24.16,,,
7998,7998,3040000,3040000-101-2002-00124,2002-02-06,,1,영업/정상,1,영업,,,,,02 4999544,,143-914,서울특별시 광진구 화양동 5-67번지 ,서울특별시 광진구 아차산로33길 16-10 (화양동),5017.0,더블유2,2012-12-14 17:34:49,I,2018-08-31 23:59:59.0,호프/통닭,206164.329717556,448775.539550778,호프/통닭,0.0,0.0,,,,,,,,,,,,N,99.0,,,
7999,7999,3040000,3040000-101-2002-00125,2002-02-06,,1,영업/정상,1,영업,,,,,02 4999544,126.0,143-914,서울특별시 광진구 화양동 5-101번지 ,서울특별시 광진구 동일로22길 117-11 (화양동),5017.0,더블유1,2019-07-02 16:46:45,U,2019-07-04 02:40:00.0,호프/통닭,206173.660311697,448769.488895893,호프/통닭,0.0,0.0,,,,,,,,,,,,Y,126.0,,,
8002,8002,3040000,3040000-101-2002-00128,2002-04-11,,1,영업/정상,1,영업,,,,,02 4589293,15.55,143-824,서울특별시 광진구 구의동 237-34 ,서울특별시 광진구 자양로28길 21 (구의동),5038.0,마시내 구의점,2023-12-13 14:27:10,U,2023-12-15 02:40:00.0,호프/통닭,207489.563257946,448890.687359283,호프/통닭,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,15.55,,,
8040,8040,3040000,3040000-101-2002-00168,2002-04-29,,1,영업/정상,1,영업,,,,,02 4327170,,143-909,서울특별시 광진구 중곡동 582-3번지 ,서울특별시 광진구 답십리로 364 (중곡동),4901.0,호프필그리스,2011-06-09 14:56:09,I,2018-08-31 23:59:59.0,호프/통닭,207065.067301418,452140.330430016,호프/통닭,0.0,0.0,주택가주변,,상수도전용,,,,,,,,,N,62.0,,,
8054,8054,3040000,3040000-101-2002-00185,2002-05-01,,1,영업/정상,1,영업,,,,,02 4552893,113.0,143-889,서울특별시 광진구 중곡동 114-30 ,서울특별시 광진구 자양로43길 48 (중곡동),4953.0,맥스숯불바베큐,2022-12-02 14:40:16,U,2022-12-04 02:40:00.0,호프/통닭,207914.724612993,450051.920001627,호프/통닭,0.0,0.0,기타,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,113.0,,,
8101,8101,3040000,3040000-101-2002-00233,2002-05-29,,1,영업/정상,1,영업,,,,,02 4619463,42.0,143-842,서울특별시 광진구 자양동 845-11 ,서울특별시 광진구 뚝섬로27길 33 (자양동),5078.0,지호호프,2025-02-14 10:17:50,U,2025-02-16 02:40:00.0,호프/통닭,205760.607378692,448351.886025818,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,63.0,,,
8153,8153,3040000,3040000-101-2002-00285,2002-06-27,,1,영업/정상,1,영업,,,,,02 4533190,190.75,143-825,서울특별시 광진구 구의동 243-6 지하1층 ,"서울특별시 광진구 자양로18길 56 (구의동,지하1층)",5044.0,디도재즈라운지,2023-05-30 13:11:11,U,2023-06-01 02:40:00.0,호프/통닭,207591.228141729,448415.485656199,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,Y,190.75,,,
8158,8158,3040000,3040000-101-2002-00290,2002-06-28,,1,영업/정상,1,영업,,,,,0222016619,25.27,143-817,서울특별시 광진구 구의동 55-18번지 ,서울특별시 광진구 자양로43길 8 (구의동),4954.0,술통빠,2019-02-11 10:28:35,U,2019-02-13 02:40:00.0,호프/통닭,207985.302114778,449881.400268517,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,25.27,,,
8181,8181,3040000,3040000-101-2002-00314,2002-07-26,,1,영업/정상,1,영업,,,,,02 4679168,48.72,143-838,서울특별시 광진구 군자동 477-1 ,서울특별시 광진구 능동로35길 7 (군자동),4997.0,샘터,2024-08-16 11:31:01,U,2024-08-18 02:40:00.0,호프/통닭,206868.065237501,450482.508944086,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,48.72,,,
8192,8192,3040000,3040000-101-2002-00325,2002-08-01,,1,영업/정상,1,영업,,,,,02 4528593,65.0,143-864,서울특별시 광진구 자양동 584-28 (1층) ,"서울특별시 광진구 자양번영로 15 (자양동,(1층))",5093.0,교촌치킨자양1호점,2022-11-30 15:50:24,U,2022-12-02 02:40:00.0,호프/통닭,206542.180824775,447647.265848115,호프/통닭,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,65.0,,,
8254,8254,3040000,3040000-101-2002-00388,2002-09-12,,1,영업/정상,1,영업,,,,,0260801888,49.44,143-914,서울특별시 광진구 화양동 11-11 ,서울특별시 광진구 동일로24길 99 (화양동),5016.0,건대술집 심술집 건대입구본점,2024-09-27 17:17:40,U,2024-09-29 02:40:00.0,호프/통닭,206155.886239398,448914.085273208,호프/통닭,0.0,0.0,기타,,상수도전용,,,,,,,,,N,49.44,,,
8261,8261,3040000,3040000-101-2002-00395,2002-09-23,,1,영업/정상,1,영업,,,,,02 4991413,71.42,143-900,서울특별시 광진구 중곡동 169-31 ,서울특별시 광진구 면목로 170-1 (중곡동),4904.0,아빠가만든스파게티,2021-06-23 09:26:45,U,2021-06-25 02:40:00.0,호프/통닭,207243.764500411,451784.351747486,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,71.42,,,
8316,8316,3040000,3040000-101-2002-00451,2002-11-05,,1,영업/정상,1,영업,,,,,02 4642893,50.59,143-838,서울특별시 광진구 군자동 476-1 ,서울특별시 광진구 군자로 182 (군자동),4997.0,현대,2024-11-15 11:50:46,U,2024-11-17 02:40:00.0,호프/통닭,206845.603318703,450493.507050316,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,50.59,,,
8323,8323,3040000,3040000-101-2002-00459,2002-11-08,,1,영업/정상,1,영업,,,,,02 4584135,16.9,143-826,서울특별시 광진구 구의동 250-39번지 ,"서울특별시 광진구 광나루로36길 70, 1층 (구의동)",5039.0,나무아래,2020-01-14 09:59:43,U,2020-01-16 02:40:00.0,호프/통닭,207491.279293333,448853.03889792,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,16.9,,,
8351,8351,3040000,3040000-101-2002-00488,2002-11-28,,1,영업/정상,1,영업,,,,,02 4446970,,143-866,서울특별시 광진구 자양동 616-15번지 ,서울특별시 광진구 자양로13길 104 (자양동),5063.0,투다리(자양본점),2016-08-17 10:41:58,I,2018-08-31 23:59:59.0,호프/통닭,206971.813221479,447804.061587462,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,43.8,,,
8396,8396,3040000,3040000-101-2002-00533,2002-12-24,,1,영업/정상,1,영업,,,,,,57.1,143-914,서울특별시 광진구 화양동 5-61 ,"서울특별시 광진구 아차산로33길 26, 지하1층 (화양동)",5017.0,낭만짚불구이 건대점,2024-01-03 15:30:27,U,2024-01-05 02:40:00.0,호프/통닭,206158.615434385,448798.587158924,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,57.1,,,
8418,8418,3040000,3040000-101-2003-00009,2003-01-08,,1,영업/정상,1,영업,,,,,02 4982351,14.0,143-843,서울특별시 광진구 자양동 47-1 1층 ,"서울특별시 광진구 뚝섬로30길 12, 1층 (자양동)",5085.0,송가네,2024-04-17 10:02:35,U,2024-04-19 02:40:00.0,호프/통닭,205769.526456853,448134.966025686,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,14.0,,,
8469,8469,3040000,3040000-101-2003-00061,2003-03-04,,1,영업/정상,1,영업,,,,,,67.86,143-914,서울특별시 광진구 화양동 9-18 1층 ,"서울특별시 광진구 아차산로31길 13, 1층 (화양동)",5018.0,교촌치킨건대점,2021-04-12 11:08:53,U,2021-04-14 02:40:00.0,호프/통닭,206062.602671519,448829.018769172,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,67.86,,,
8470,8470,3040000,3040000-101-2003-00062,2003-03-04,,1,영업/정상,1,영업,,,,,,66.16,143-914,서울특별시 광진구 화양동 9-18 2층 ,"서울특별시 광진구 아차산로31길 13, 2층 (화양동)",5018.0,교촌치킨건대점,2021-04-12 11:13:00,U,2021-04-14 02:40:00.0,호프/통닭,206062.602671519,448829.018769172,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,66.16,,,
8559,8559,3040000,3040000-101-2003-00153,2003-05-22,,1,영업/정상,1,영업,,,,,0234379292,67.0,143-873,서울특별시 광진구 자양동 663-24 ,서울특별시 광진구 뚝섬로56길 25 (자양동),5102.0,황제바베큐,2024-05-29 14:19:48,U,2024-05-31 02:40:00.0,호프/통닭,207247.525339551,447560.818430998,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,67.0,,,
8645,8645,3040000,3040000-101-2003-00240,2003-07-21,,1,영업/정상,1,영업,,,,,02 4447817,,143-865,서울특별시 광진구 자양동 601-15번지 ,서울특별시 광진구 자양번영로 22 (자양동),5098.0,펀비어킹,2017-12-19 17:08:01,I,2018-08-31 23:59:59.0,호프/통닭,206600.024179288,447712.292128235,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,65.5,,,
8651,8651,3040000,3040000-101-2003-00246,2003-07-29,,1,영업/정상,1,영업,,,,,,,143-914,서울특별시 광진구 화양동 8-37번지 ,서울특별시 광진구 아차산로31길 16 (화양동),5017.0,화기애애,2009-09-30 14:47:24,I,2018-08-31 23:59:59.0,호프/통닭,206087.781085198,448837.198435644,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,56.8,,,
8675,8675,3040000,3040000-101-2003-00271,2003-08-27,,1,영업/정상,1,영업,,,,,02444 1580,18.24,143-815,서울특별시 광진구 광장동 566 청구상가 103호 ,서울특별시 광진구 아차산로 503-23 (광장동),4984.0,비에이치씨(BHC)광나루점,2022-07-01 19:49:38,U,2022-07-03 02:40:00.0,호프/통닭,208440.29098555,448916.291657914,호프/통닭,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,18.24,,,
8706,8706,3040000,3040000-101-2003-00306,2003-09-23,,1,영업/정상,1,영업,,,,,02458 6955,75.84,143-907,서울특별시 광진구 중곡동 292 ,서울특별시 광진구 용마산로 174 (중곡동),4938.0,크라운호프 서울중곡점,2023-09-05 13:03:31,U,2023-09-07 02:40:00.0,호프/통닭,207571.747933081,451845.601747007,호프/통닭,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,75.84,,,
8709,8709,3040000,3040000-101-2003-00309,2003-09-26,,1,영업/정상,1,영업,,,,,02 4558008,68.29,143-822,서울특별시 광진구 구의동 218-15 외 2필지 ,"서울특별시 광진구 아차산로 444 (구의동,외 2필지)",5047.0,상구네 솥뚜껑 삼겹살,2024-08-05 13:31:29,U,2024-08-07 02:40:00.0,호프/통닭,208058.878719364,448482.324087157,호프/통닭,0.0,0.0,기타,자율,상수도전용,,,,,,,,,N,68.29,,,
8725,8725,3040000,3040000-101-2003-00325,2003-10-10,,1,영업/정상,1,영업,,,,,02 4537578,46.68,143-816,서울특별시 광진구 구의동 28-1 ,서울특별시 광진구 자양로53길 21 (구의동),4955.0,"강정이기가막혀,웰덤치킨",2022-09-20 10:51:08,U,2022-09-22 02:40:00.0,호프/통닭,208131.825418566,450233.620269356,호프/통닭,0.0,0.0,기타,자율,상수도전용,,,,,,,,,N,46.68,,,
8837,8837,3040000,3040000-101-2004-00001,2004-01-02,,1,영업/정상,1,영업,,,,,,97.0,143-914,서울특별시 광진구 화양동 7-9 ,서울특별시 광진구 동일로22길 104 (화양동),5018.0,24케이(24k),2024-07-02 10:53:52,U,2024-07-04 02:40:00.0,감성주점,206098.338891049,448722.142529103,감성주점,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Y,97.0,,,
8908,8908,3040000,3040000-101-2004-00072,2004-03-15,,1,영업/정상,1,영업,,,,,02 4613798,111.0,143-914,서울특별시 광진구 화양동 8-88 1층 ,"서울특별시 광진구 아차산로33길 27, 1층 (화양동)",5017.0,당나발포차 건대점,2025-02-06 16:06:20,U,2025-02-08 02:40:00.0,호프/통닭,206138.386777748,448815.756584823,호프/통닭,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,111.0,,,
8926,8926,3040000,3040000-101-2004-00091,2004-03-26,,1,영업/정상,1,영업,,,,,0234372274,,143-825,서울특별시 광진구 구의동 243-6번지 1층 ,"서울특별시 광진구 자양로18길 56 (구의동,1층)",5044.0,59쌀피자,2011-03-22 11:24:13,I,2018-08-31 23:59:59.0,호프/통닭,207591.228141729,448415.485656199,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,23.1,,,
8927,8927,3040000,3040000-101-2004-00092,2004-03-26,,1,영업/정상,1,영업,,,,,02 4549233,75.9,143-817,서울특별시 광진구 구의동 52-1 ,서울특별시 광진구 천호대로129길 22 (구의동),4954.0,맛닭꼬아차산점,2023-12-04 14:59:07,U,2023-12-06 02:40:00.0,호프/통닭,207957.467420594,450045.839977133,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,75.9,,,
8977,8977,3040000,3040000-101-2004-00146,2004-04-30,,1,영업/정상,1,영업,,,,,02 4669546,36.12,143-914,서울특별시 광진구 화양동 3-30 지하1층 ,"서울특별시 광진구 능동로 135, 지하1층 (화양동)",5011.0,최대감댁,2024-07-15 11:26:29,U,2024-07-17 02:40:00.0,호프/통닭,206277.487620329,448974.253579524,호프/통닭,0.0,0.0,,,,,,,,,,,,N,36.12,,,
8982,8982,3040000,3040000-101-2004-00151,2004-05-04,,1,영업/정상,1,영업,,,,,02 4692863,29.7,143-904,서울특별시 광진구 중곡동 256-33 ,서울특별시 광진구 면목로 91 (중곡동),4916.0,무지개,2021-06-09 10:03:59,U,2021-06-11 02:40:00.0,호프/통닭,206897.318228441,451066.776760342,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,29.7,,,
9016,9016,3040000,3040000-101-2004-00185,2004-05-25,,1,영업/정상,1,영업,,,,,02 4984379,,143-841,서울특별시 광진구 자양동 7-8번지 지하1층 ,"서울특별시 광진구 동일로20길 95 (자양동,지하1층)",5073.0,애향,2010-04-14 09:14:30,I,2018-08-31 23:59:59.0,호프/통닭,206010.304626966,448637.452388726,호프/통닭,0.0,0.0,,,,,,,,,,,,N,56.1,,,
9025,9025,3040000,3040000-101-2004-00194,2004-06-04,,1,영업/정상,1,영업,,,,,02 4445466,26.43,143-896,서울특별시 광진구 중곡동 150-211번지 ,서울특별시 광진구 긴고랑로 96 (중곡동),4922.0,꿈꾸는다락방,2019-05-02 09:32:37,U,2019-05-04 02:40:00.0,호프/통닭,207523.230486439,450872.117116625,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,26.43,,,
9033,9033,3040000,3040000-101-2004-00203,2004-06-11,,1,영업/정상,1,영업,,,,,02 4449211,16.38,143-862,서울특별시 광진구 자양동 553-139 ,서울특별시 광진구 뚝섬로30길 39 (자양동),5085.0,멕시카나치킨자양건대점,2020-09-22 14:51:44,U,2020-09-24 02:40:00.0,호프/통닭,205883.303699803,448049.926829611,호프/통닭,0.0,0.0,기타,,상수도전용,,,,,,,,,N,16.38,,,
9035,9035,3040000,3040000-101-2004-00205,2004-06-15,,1,영업/정상,1,영업,,,,,0234365592,,143-826,서울특별시 광진구 구의동 252-65번지 ,서울특별시 광진구 자양로22길 20 (구의동),5043.0,맛대로치킨,2008-06-09 17:05:50,I,2018-08-31 23:59:59.0,호프/통닭,207393.711425682,448588.254722866,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,34.14,,,
9039,9039,3040000,3040000-101-2004-00209,2004-06-18,,1,영업/정상,1,영업,,,,,02 4552710,26.95,143-805,서울특별시 광진구 광장동 245-16 ,서울특별시 광진구 천호대로141길 10-11 (광장동),4968.0,사계절별미,2021-03-23 11:57:35,U,2021-03-25 02:40:00.0,호프/통닭,209027.135096765,449332.613526594,호프/통닭,0.0,0.0,주택가주변,,상수도전용,,,,,,,,,N,26.95,,,
9073,9073,3040000,3040000-101-2004-00243,2004-07-21,,1,영업/정상,1,영업,,,,,02 4640077,,143-914,서울특별시 광진구 화양동 9-1번지 ,서울특별시 광진구 동일로24길 92 (화양동),5018.0,정가네,2013-10-23 13:19:13,I,2018-08-31 23:59:59.0,호프/통닭,206101.679226037,448914.496229489,호프/통닭,,,,,,,,,,,,,,N,64.26,,,
9111,9111,3040000,3040000-101-2004-00281,2004-08-23,,1,영업/정상,1,영업,,,,,,65.98,143-914,서울특별시 광진구 화양동 11-18 1층 ,"서울특별시 광진구 동일로24길 95-3, 1층 (화양동)",5016.0,심마니,2022-11-23 13:14:49,U,2022-11-26 02:40:00.0,호프/통닭,206140.970264626,448934.880189113,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,60.0,,,
9122,9122,3040000,3040000-101-2004-00292,2004-09-03,,1,영업/정상,1,영업,,,,,02 4577765,41.69,143-890,서울특별시 광진구 중곡동 116-6 ,서울특별시 광진구 천호대로 635 (중곡동),4931.0,호 그,2021-06-30 13:56:26,U,2021-07-02 02:40:00.0,호프/통닭,207731.485258408,450196.465106233,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,41.69,,,
9153,9153,3040000,3040000-101-2004-00323,2004-10-01,,1,영업/정상,1,영업,,,,,02 4677942,83.56,143-917,서울특별시 광진구 화양동 47-67 2층 ,"서울특별시 광진구 동일로22길 59 (화양동,2층)",5018.0,하루,2022-05-17 14:58:40,U,2022-05-19 02:40:00.0,호프/통닭,205908.683865271,448831.073626853,호프/통닭,,,,,,,,,,,,,,N,83.56,,,
9156,9156,3040000,3040000-101-2004-00326,2004-10-02,,1,영업/정상,1,영업,,,,,02 4552368,38.28,143-817,서울특별시 광진구 구의동 51-8 ,서울특별시 광진구 자양로45길 34 (구의동),4954.0,아차산횟집,2024-06-07 10:23:40,U,2024-06-09 02:40:00.0,호프/통닭,207976.485766752,450058.465253133,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,38.28,,,
9228,9228,3040000,3040000-101-2004-00398,2004-12-02,,1,영업/정상,1,영업,,,,,02 4520733,,143-865,서울특별시 광진구 자양동 606-40번지 ,서울특별시 광진구 뚝섬로50길 7-10 (자양동),5099.0,헤라,2017-12-11 15:32:29,I,2018-08-31 23:59:59.0,호프/통닭,206882.230011987,447726.352871281,호프/통닭,0.0,0.0,주택가주변,,상수도전용,,,,,,,,,N,18.36,,,
9308,9308,3040000,3040000-101-2005-00038,2005-03-07,,1,영업/정상,1,영업,,,,,02 4617585,80.06,143-914,서울특별시 광진구 화양동 8-37번지 지하 ,"서울특별시 광진구 아차산로31길 16 (화양동,지하)",5017.0,화기애애,2018-08-17 11:30:17,U,2018-12-06 02:40:00.0,호프/통닭,206087.781085198,448837.198435644,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,80.06,,,
9319,9319,3040000,3040000-101-2005-00049,2005-03-16,,1,영업/정상,1,영업,,,,,02 4669344,34.65,143-914,서울특별시 광진구 화양동 9-66번지 ,서울특별시 광진구 동일로24길 82 (화양동),5018.0,신대동집,2019-11-21 11:28:09,U,2019-11-23 02:40:00.0,호프/통닭,206068.751914361,448927.645929244,호프/통닭,0.0,0.0,,,,,,,,,,,,N,34.65,,,
9400,9400,3040000,3040000-101-2005-00130,2005-05-16,,1,영업/정상,1,영업,,,,,,29.35,143-867,서울특별시 광진구 자양동 626-1 ,서울특별시 광진구 자양로13길 16 (자양동),5056.0,남촌치킨,2024-08-16 14:35:48,U,2024-08-18 02:40:00.0,호프/통닭,207267.514595321,448146.820894186,호프/통닭,0.0,0.0,주택가주변,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,29.35,,,
9413,9413,3040000,3040000-101-2005-00143,2005-05-19,,1,영업/정상,1,영업,,,,,0234095592,38.37,143-899,서울특별시 광진구 중곡동 162-3 ,서울특별시 광진구 능동로 339 (중곡동),4915.0,굽네치킨(중곡1동점),2023-06-20 16:05:23,U,2023-06-22 02:40:00.0,호프/통닭,207063.408112065,450852.529688133,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,38.37,,,
9474,9474,3040000,3040000-101-2005-00204,2005-07-07,,1,영업/정상,1,영업,,,,,02 4633029,64.26,143-917,서울특별시 광진구 화양동 45-71 (2층) ,"서울특별시 광진구 동일로22길 31 (화양동,(2층))",5019.0,과장님댁시즌2,2023-10-11 14:58:43,U,2023-10-13 02:40:00.0,호프/통닭,205768.533518894,448889.774513083,호프/통닭,0.0,0.0,,,상수도전용,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,N,64.26,,,
9492,9492,3040000,3040000-101-2005-00222,2005-07-19,,1,영업/정상,1,영업,,,,,02 4653455,,143-914,서울특별시 광진구 화양동 8-58번지 ,서울특별시 광진구 동일로24길 96 (화양동),5017.0,호호불닭발,2015-07-03 11:28:28,I,2018-08-31 23:59:59.0,호프/통닭,206128.821006299,448904.444935663,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,45.63,,,
9498,9498,3040000,3040000-101-2005-00228,2005-07-22,,1,영업/정상,1,영업,,,,,0234095251,27.3,143-842,서울특별시 광진구 자양동 24-19번지 ,서울특별시 광진구 동일로 86 (자양동),5071.0,난이네실내포차,2019-11-18 10:46:52,U,2019-11-20 02:40:00.0,호프/통닭,205523.648004219,448661.867079586,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,27.3,,,
9508,9508,3040000,3040000-101-2005-00238,2005-07-29,,1,영업/정상,1,영업,,,,,02 4567207,23.59,143-903,서울특별시 광진구 중곡동 239-75 ,서울특별시 광진구 긴고랑로 19 (중곡동),4912.0,직화짬뽕전문점,2022-12-13 09:55:43,U,2022-12-15 02:40:00.0,호프/통닭,206888.488973876,451272.4884593,호프/통닭,0.0,0.0,,,상수도전용,,,,,,,,,N,23.59,,,
9565,9565,3040000,3040000-101-2005-00295,2005-09-27,,1,영업/정상,1,영업,,,,,02 4572206,53.95,143-873,서울특별시 광진구 자양동 664-1번지 ,서울특별시 광진구 뚝섬로58가길 9 (자양동),5102.0,부어치킨,2018-08-08 10:23:10,U,2018-12-06 02:40:00.0,호프/통닭,207375.438340662,447596.585074298,호프/통닭,0.0,0.0,주택가주변,,상수도전용,,,,,,,,,N,53.95,,,
